Chapter,Title,Question,Answer,Choices
2.3,ခေတ် ,တင်မောင်မြင့်သည် မြန်မာနိုင်ငံတွင် ___ မြန်မာစာဂုဏ်ထူးဘွဲ့ ရရှိခဲ့သူဖြစ်သည်။,(ခ),"(က) ဒုတိယ
(ခ) ပထမ
(ဂ) တတိယ"
2.5,စာဘူးတောင်း,စာဘူးတောင်းဆောင်းပါးကို ________ ရေးသားခဲ့ပါသည်။,(ဂ),"(က) ဒဂုန်ဦးထွန်းမြင့်
(ခ) ဒဂုန်ရွှေများ
(ဂ) ဒဂုန်ဦးစန်းငွေ"
2.5,စာဘူးတောင်း,ဒဂုန်ဦးစန်းငွေသည် ________ခုနှစ်တွင် မန္တလေး ရွှေဗမာမဂ္ဂဇင်း အယ်ဒီတာတာဝန်ကို ထမ်းဆောင်ခဲ့သည်။,(ဂ),"(က) ၁၉၃၇
(ခ) ၁၉၃၆
(ဂ) ၁၉၃၅"
2.5,စာဘူးတောင်း,၁၉၄၇ ခုနှစ်တွင် ဒဂုန်ဦးစန်းငွေသည် အေဝမ်းရုပ်စုံအယ်ဒီတာချုပ်နှင့် ________တာဝန်များကို ထမ်းဆောင်ခဲ့သည်။,(က),"(က) ဒဂုန်မဂ္ဂဇင်းအယ်ဒီတာချုပ်
(ခ) ရုပ်ရှင်အောင်လံအယ်ဒီတာချုပ်
(ဂ) မန္တလေးရွှေဗမာမဂ္ဂဇင်းအယ်ဒီတာ"
2.5,စာဘူးတောင်း,ပျို့အဘိဓာန်စာအုပ်ကို _______တွင် ပထမဆုံးလုံးချင်းစာအုပ်အဖြစ် ထုတ်ဝေခဲ့သည်။,(ခ),"(က) ၁၉၄၇ ခုနှစ်
(ခ) ၁၉၃၇ ခုနှစ်
(ဂ) ၁၉၂၇ ခုနှစ်"
2.5,စာဘူးတောင်း,ဒဂုန်ဦးစန်းငွေသည် _______ခုနှစ်မှစ၍ ဒဂုန်မဂ္ဂဇင်းတွင် ပေါက္ကံမောင်တင်အမည်ဖြင့် ကဗျာများ ရေးခဲ့သည်။,(က),"(က) ၁၉၃၃ ခုနှစ်
(ခ) ၁၉၃၄ ခုနှစ်
(ဂ) ၁၉၃၅ ခုနှစ်"
2.5,စာဘူးတောင်း,ဒဂုန်ဦးစန်းငွေအမည်ဖြင့် ______စာအုပ်ကို ၁၉၃၇ ခုနှစ်တွင် ပထမဆုံးလုံးချင်းစာအုပ်အဖြစ်  ထုတ်ဝေခဲ့သည်။,(က),"(က) ပျို့အဘိဓာန်
(ခ) ဝေါဟာရအဘိဓာန်
(ဂ) ပါဠိ-မြန်မာအဘိဓာန်"
2.5,စာဘူးတောင်း,"ဒဂုန်ဦးစန်းငွေ၏ ကလောင်အမည်ပွားမှာ ________ဖြစ်သည်။",(က),"(က) ဒဂုန်မောင်စံသူ
(ခ) ဒဂုန်နတ်ရှင်
(ဂ) ဒဂုန်ရွှေမျှား"
2.5,စာဘူးတောင်း,"ဒဂုံဦးစန်းငွေသည် ________တွင် ဇာတ်ညွှန်းများ ရေးခဲ့သည်။",(ဂ),"(က) ၁၉၄၅-၁၉၆ဝ ခုနှစ်
(ခ) ၁၉၅၃-၁၉၆၃ ခုနှစ်
(ဂ) ၁၉၅၅-၁၉၆၄ ခုနှစ်"
2.6,ဦးဖေမောင်တင်,ဦးဖေမောင်တင်ကို ______ခုနှစ်၊ ဧပြီလ ၂၄ ရက်နေ့၌ အင်းစိန်မြို့ ပေါက်တောရပ်၌ ဖွားမြင်ခဲ့သည်။,(ဂ),"(က) ၁၈၈၆
(ခ) ၁၈၈၇
(ဂ) ၁၈၈၈"
2.6,ဦးဖေမောင်တင်,ဦးဖေမောင်တင်သည် ၇ တန်းစာမေးပွဲကို မြန်မာတစ်နိုင်ငံလုံး _________ဖြင့် အောင်မြင်ခဲ့သည်။,(က),"(က) ပထမ
(ခ) ဒုတိယ
(ဂ) တတိယ"
2.6,ဦးဖေမောင်တင်,ဦးဖေမောင်တင်သည် ၁၉ဝ၅ ခုနှစ်၌ ၉ တန်းစာမေးပွဲတွင် ပထမရ၍ ရနောင်းဘုရင်ခံချီးမြှင့်သော ________ရရှိခဲ့သည်။,(က),"(က) ရနောင်းဆု
(ခ) ဂျာဒင်းဆု
(ဂ) သာဒိုးအောင်ဆု"
2.6,ဦးဖေမောင်တင်,ဦးဖေမောင်တင်သည် ရန်ကုန်ကောလိပ် ဥပစာတန်းတွင် ပထမရရှိသဖြင့် တရားမင်းကြီးချုပ် ဆာဂျွန်ဂျာဒင်း ချီးမြှင့်သော _________ရရှိခဲ့သည်။,(ဂ),"(က) စာပေထူးချွန်ဆု
(ခ) ရနောင်းဆု
(ဂ) ဂျာဒင်းဆု"
2.6,ဦးဖေမောင်တင်,ဦးဖေမောင်တင် ပါမောက္ခဖြစ်ချိန်တွင် အသက် ________အရွယ်သာ ရှိသေးသည်။,(ခ),"(က) ၂၅
(ခ) ၂၄
(ဂ) ၂၇"
2.6,ဦးဖေမောင်တင်,"ဦးဖေမောင်တင် အသက် ၂၃ နှစ်အရွယ်တွင် ကာလကတ္တား တက္ကသိုလ်မှ ပါဠိဘာသာ မဟာဝိဇ္ဇာ
စာမေးပွဲကို တက္ကသိုလ်တစ်ခုလုံး၌ ________ရလျက် အောင်မြင်ခဲ့သည်။",(ခ),"(က) ပထမ
(ခ) ဒုတိယ
(ဂ) တတိယ"
2.7,အဖြူနဲ့အနက်,မောင်ခင်မင် (ဓနုဖြူ) သည် ရန်ကုန်တက္ကသိုလ်က ဂုဏ်ထူးဆောင်စာပေပါရဂူဘွဲ့ကို _______တွင် ချီးမြှင့်ခြင်းခံခဲ့ရသည်။,(ခ),"(က) ၂၀၀၃ ခုနှစ်
(ခ) ၂ဝဝ၂ ခုနှစ်
(ဂ) ၂၀၀၁ ခုနှစ်"
2.7,အဖြူနဲ့အနက်,မောင်ခင်မင် (ဓနုဖြူ) သည် မြန်မာစကား မြန်မာစာရုပ်ပုံလွှာစာမူဖြင့် ________ရရှိခဲ့သည်။,(ခ),"(က) အမျိုးသားစာပေဆု
(ခ) စာပေဗိမာန်စာမူဆု
(ဂ) စာပဒေသာဆု"
2.7,အဖြူနဲ့အနက်,မောင်ခင်မင် (ဓနုဖြူ) သည် ဘာသာအမြင် စာပေအမြင်စာအုပ်ဖြင့် _______ရရှိခဲ့သည်။,(ဂ),"(က) စာပေဗိမာန်စာမူဆု
(ခ) သုတစွယ်စုံစာပဒေသာဆု
(ဂ) အမျိုးသားစာပေဆု"
2.8,စိတ်ဓာတ်တည်ငြိမ်ရင့်ကျက်ခြင်း,ဒေါက်တာကျော်စိန်သည် ၁၉၆၆ ခုနှစ်တွင် ပါရဂူဘွဲ့ကို ________ မှ ရရှိခဲ့သည်။,(ခ),"(က) တိုကျိုတက္ကသိုလ်
(ခ) ကိုလံဘီယာတက္ကသိုလ်
(ဂ) ရန်ကုန်တက္ကသိုလ်"
2.8,စိတ်ဓာတ်တည်ငြိမ်ရင့်ကျက်ခြင်း,ဒေါက်တာကျော်စိန်သည် _________တွင် စိတ်ပညာပါမောက္ခအဖြစ် တာဝန်ထမ်းဆောင်ခဲ့သည်။,(ဂ),"(က) ၁၉၇၅ ခုနှစ်
(ခ) ၁၉၇၆ ခုနှစ်
(ဂ) ၁၉၇၇ ခုနှစ်"
2.8,စိတ်ဓာတ်တည်ငြိမ်ရင့်ကျက်ခြင်း,ဒေါက်တာကျော်စိန်သည် ________ စာမူဖြင့် လူငယ်စာပေပထမဆုကို ၁၉၉ဝ ခုနှစ်တွင် ရရှိခဲ့သည်။,(က),"(က) လူငယ်လမ်းညွှန်
(ခ) သင့်ဘဝတွက်တာ အသုံးချစိတ်ပညာ
(ဂ) တို့ချစ်သည့်တို့နိုင်ငံတော်"
3.1,ပေါ်နွေလလျှင်,နတ်ရှင်နောင်သည် ပေါ်နွေလလျှင်ကဗျာကို ________ခေတ်တွင် စပ်ဆိုခဲ့သည်။,(ခ),"(က) အင်းဝခေတ်
(ခ) တောင်ငူခေတ်
(ဂ) ပင်းယခေတ်"
3.1,ပေါ်နွေလလျှင်,ပေါ်နွေလလျှင်ကဗျာသည် ___________ ကဗျာအမျိုးအစား ဖြစ်သည်။,(ခ),"(က) သံပေါက်
(ခ) ရတု
(ဂ) လေးချိုး"
3.1,ပေါ်နွေလလျှင်,နတ်ရှင်နောင်သည် __________ ၏ နှမတော် ရာဇဓာတုကလျာနှင့် ထိမ်းမြားလက်ထပ်ခဲ့သည်။,(ဂ),"(က) မွန်ဘုရင်
(ခ) ဟံသာဝတီဘုရင်
(ဂ) ဇင်းမယ်ဘုရင်"
3.1,ပေါ်နွေလလျှင်,နတ်ရှင်နောင်သည် သက္ကရာဇ် __________ တွင် ဖခင်၏အရိုက်အရာဖြစ်သော ရွှေထီးရွှေနန်းကို သိမ်းမြန်းစိုးစံတော်မူသည်။,(က),"(က) ၉၇၁ ခုနှစ်
(ခ) ၉၇၂ ခုနှစ်
(ဂ) ၉၇၃ ခုနှစ်"
3.2,ငါကိုလွယ် အမယ်ကြီးနှင့်,ငါ့ကိုလွယ်အမယ်ကြီးနှင့်ကဗျာကို ___________ က စပ်ဆိုခဲ့ပါသည်။,(က),"(က) တောင်တွင်းရှင်ငြိမ်းမယ်
(ခ) ရဝေရှင်ထွေး
(ဂ) လှိုင်ထိပ်ခေါင်တင်"
3.2,ငါကိုလွယ် အမယ်ကြီးနှင့်,ငါ့ကိုလွယ်အမယ်ကြီးနှင့်ကဗျာသည် _________တွင် တောင်တွင်းရှင်ငြိမ်းမယ်က စပ်ဆိုခဲ့ပါသည်။,(ခ),"(က) ပင်းယခေတ်
(ခ) ညောင်ရမ်းခေတ်
(ဂ) အင်းဝခေတ်"
3.2,ငါကိုလွယ် အမယ်ကြီးနှင့်,အိုင်ချင်းတွင် __________ကို တွေ့နိုင်သည်။,(ခ),"(က) နန်းမူနန်းရာ
(ခ) ဘောမူတောရာ
(ဂ) ကောက်စိုက်သမဘဝ"
3.3,သြဝါဒထူးပျို့ ,စိန္တကျော်သူဦးသြသည် ကုန်းဘောင်မင်္ဂလာ_________ကိုလည်း ရေးသားခဲ့သည်။,(ဂ),"(က) ရတုပိုဒ်စုံ
(ခ) လင်္ကာ
(ဂ) လူးတား"
3.3,သြဝါဒထူးပျို့ ,"သြဝါဒထူးကဗျာသည် _________ကဗျာအမျိုးအစားဖြစ်သည်။",(က),"(က) ပျို့
(ခ) ရတု
(ဂ) လင်္ကာ"
3.4,ပေါင်းရှစ်ယောက် ကောက်စိုက်သူ,ပေါင်းရှစ်ယောက်ကောက်စိုက်သူကဗျာသည် ________ ကဗျာအမျိုးအစားဖြစ်သည်။,(ခ),"(က) ရတု
(ခ) သံချို
(ဂ) ရတု"
3.4,ပေါင်းရှစ်ယောက် ကောက်စိုက်သူ,ပေါင်းရှစ်ယောက်ကောက်စိုက်သူကဗျာကို ________တွင် ရေးသားခဲ့သည်။,(ဂ),"(က) ကုန်းဘောင်ခေတ်ဦး
(ခ) ကုန်းဘောင်ခေတ်လယ်
(ဂ) ကုန်းဘောင်ခေတ်နှောင်း"
3.4,ပေါင်းရှစ်ယောက် ကောက်စိုက်သူ,မောင်းထောင်ဦးကျော်လှသည် _______ ကို အထူးလိုက်စားခဲ့သည်။,(ခ),"(က) ကဗျာလင်္ကာ
(ခ) ရုပ်သေးပညာ
(ဂ) ဗေဒင်နက္ခတ်ပညာ"
3.4,ပေါင်းရှစ်ယောက် ကောက်စိုက်သူ,ဦးကျော်လှနှင့် စာဆိုဖက်မှာ ________ ဖြစ်သည်။,(ဂ),"(က) ဦးသိန်းဟန်
(ခ) ဦးကြင်ဥ
(ဂ) ဦးဉာဏ်ကျယ်"
3.5,အညာမဂ်လာဆောင်,အညာမင်္ဂလာဆောင်ကဗျာသည် _______ ကဗျာအမျိုးအစားဖြစ်သည်။,(ဂ),"(က) လင်္ကာ
(ခ) ရတု
(ဂ) လေးချိုးကြီး"
3.5,အညာမဂ်လာဆောင်,သခင်ကိုယ်တော်မှိုင်းသည် အညာမင်္ဂလာဆောင်ကဗျာကို _______ ခေတ်တွင် ရေးသားခဲ့သည်။,(ခ),"(က) လွတ်လပ်ရေး
(ခ) ကိုလိုနီ
(ဂ) ကုန်းဘောင်"
3.5,အညာမဂ်လာဆောင်,သခင်ကိုယ်တော်မှိုင်း၏ငယ်မည်မှာ _______ ဖြစ်သည်။,(ဂ),"(က) မောင်ပုတ်စည်
(ခ) မောင်မောက်
(ဂ) မောင်လွန်း"
3.5,အညာမဂ်လာဆောင်,သခင်ကိုယ်တော်မှိုင်းသည် __________ တွင်လည်း ပညာသင်ခဲ့သည်။,(က),"(က) မန္တလေးမြတောင်ကျောင်းတိုက်
(ခ) ဗန်းမော်ကျောင်းတိုက်
(ဂ) ဝိသုတာရာမတိုက်"
3.5,အညာမဂ်လာဆောင်,သခင်ကိုယ်တော်မှိုင်းသည် ရန်ကုန်နှင့်မော်လမြိုင်မြို့ကြီးများတွင် ပုံနှိပ်တိုက်တွင် _________ လုပ်ခဲ့သည်။,(ခ),"(က) အယ်ဒီတာ
(ခ) စာပြင်ဆရာ
(ဂ) စာတည်း"
3.5,အညာမဂ်လာဆောင်,သခင်ကိုယ်တော်မှိုင်းသည် သူရိယသတင်းစာနှင့် ဒဂုန်မဂ္ဂဇင်းစသည်တို့တွင် ________ လုပ်ခဲ့သည်။,(ခ),"(က) အယ်ဒီတာချုပ်
(ခ) အယ်ဒီတာ
(ဂ) စာပြင်ဆရာ"
3.5,အညာမဂ်လာဆောင်,သခင်ကိုယ်တော်မှိုင်းသည် ___________ တွင် စတာလင်ဆုကြီး ရရှိခဲ့သည်။,(က),"(က) ၁၉၅၄ ခုနှစ်
(ခ) ၁၉၄၅ ခုနှစ်
(ဂ) ၁၉၄၄ ခုနှစ်"
3.6,ကမ္ဗောဇသို့,"ဆရာဇော်ဂျီ၏အမည်ရင်းမှာ ________ဖြစ်သည်။","(က) ဦးဧမောင်
(ခ) ဦးစိန်တင်
(ဂ) ဦးသိန်းဟန်"
3.6,ကမ္ဗောဇသို့,"ဆရာဇော်ဂျီသည် လန်ဒန်တက္ကသိုလ်နှင့် ဒပ်ဗလင်တက္ကသိုလ်တွင် __________ပညာကို သင်ကြားခဲ့သည်။",(ဂ),"(က) အရှေ့တိုင်း
(ခ) အင်္ဂလိပ်
(ဂ) စာကြည့်တိုက်"
3.7,လက်ဖက်ရည်ကြမ်းဝိုင်း,လက်ဖက်ရည်ကြမ်းဝိုင်းကဗျာသည် ___________ ရေးဖွဲ့သော ကဗျာတစ်ပုဒ်ဖြစ်သည်။,(ဂ),"(က) ဦးစိုးညွန့်
(ခ) မင်းယုဝေ
(ဂ) ဗန်းမော်ညိုနွဲ့"
3.7,လက်ဖက်ရည်ကြမ်းဝိုင်း,လက်ဖက်ရည်ကြမ်းဝိုင်းကဗျာသည် ___________ တွင် ရေးဖွဲ့ထားသော ကဗျာတစ်ပုဒ်ဖြစ်သည်။,(ခ),"(က) ကိုလိုနီခေတ်
(ခ) လွတ်လပ်ရေးခေတ်
(ဂ) ကုန်းဘောင်ခေတ်"
3.7,လက်ဖက်ရည်ကြမ်းဝိုင်း,ဗန်းမော်ညိုနွဲ့၏ အမည်ရင်းမှာ ___________ ဖြစ်သည်။,(ဂ),"(က) ဦးကြင်ဥ
(ခ) ဦးအောင်
(ဂ) ဦးပုထွေး"
3.7,လက်ဖက်ရည်ကြမ်းဝိုင်း, ________ ၌ ဒဂုန်မဂ္ဂဇင်းတွင် ဗန်းမော်ညိုနွဲ့ကလောင်အမည်ဖြင့် ကဗျာရေးသားခဲ့သည်။,(က),"(က) ၁၉၄၁ ခုနှစ်
(ခ) ၁၉၄၂ ခုနှစ်
(ဂ) ၁၉၄၃ ခုနှစ်"
3.7,လက်ဖက်ရည်ကြမ်းဝိုင်း,"ဗန်းမော်ညိုနဲ့ ကလောင်အမည်ဖြင့် ဒဂုန်မဂ္ဂဇင်းတွင် _________ ရေးသားကာ စာပေနယ်သို့ စတင်
ဝင်ရောက်ခဲ့သည်။",(ခ),"(က) ဝတ္ထုများ
(ခ) ကဗျာများ
(ဂ) ရသစာတမ်းများ"
3.8,ပဒေသာလက်ရာ,"ပဒေသာလက်ရာကဗျာကို တက္ကသိုလ်တောသားသည် _________ တွင် ရေးသားခဲ့သည်။",(ခ),"(က) လွတ်လပ်ရေးခေတ်
(ခ) မျက်မှောက်ခေတ်
(ဂ) ကိုလိုနီခေတ်"
3.8,ပဒေသာလက်ရာ,ပဒေသာလက်ရာကဗျာသည် __________ကဗျာအမျိုးအစားဖြစ်သည်။,(ဂ),"(က) ရတု
(ခ) လင်္ကာ
(ဂ) သံပေါက်"
3.8,ပဒေသာလက်ရာ,တက္ကသိုလ်တောသားသည် တက္ကသိုလ်မြန်မာစာနည်းပြအဖြစ် _________တွင် စတင်အမှုထမ်းခဲ့သည်။,(က),"(က) ၁၉၆၆ ခုနှစ်
(ခ) ၁၉၆၅ ခုနှစ်
(ဂ) ၁၉၆၄ ခုနှစ်"
4.3,ရေသည်ပြဇာတ်,"ဦးပုညကို “မောင်ပုတ်စည်တွင်စေ”ဟု _________ က အမည်ပေးတော်မူသည်။",(ဂ),"(က) ပုဂံမင်း
(ခ) ဘိုးတော်ဘုရား
(ဂ) မင်းတုန်းမင်း"
